gene,logP
isogroupOFAVBQ_DN171104_c0_g1,NA
isogroupOFAVBQ_DN171355_c1_g1,-0.0968671914865832
isogroupOFAVBQ_DN171422_c1_g1,NA
isogroupOFAVBQ_DN171423_c0_g2,NA
isogroupOFAVBQ_DN171493_c0_g1,NA
isogroupOFAVBQ_DN171493_c0_g2,NA
isogroupOFAVBQ_DN171493_c0_g3,NA
isogroupOFAVBQ_DN171524_c0_g1,NA
isogroupOFAVBQ_DN171576_c0_g2,NA
isogroupOFAVBQ_DN171661_c0_g1,0.30102329509471
isogroupOFAVBQ_DN171674_c0_g1,-0.0276320139036332
isogroupOFAVBQ_DN171775_c0_g1,NA
isogroupOFAVBQ_DN171785_c0_g1,NA
isogroupOFAVBQ_DN171844_c1_g1,NA
isogroupOFAVBQ_DN171861_c0_g1,NA
isogroupOFAVBQ_DN171877_c0_g1,NA
isogroupOFAVBQ_DN172086_c0_g1,0.366942781604181
isogroupOFAVBQ_DN172191_c0_g1,NA
isogroupOFAVBQ_DN172235_c0_g1,NA
isogroupOFAVBQ_DN172283_c0_g1,NA
isogroupOFAVBQ_DN172296_c1_g1,NA
isogroupOFAVBQ_DN172304_c0_g1,NA
isogroupOFAVBQ_DN172315_c0_g2,NA
isogroupOFAVBQ_DN172342_c0_g4,NA
isogroupOFAVBQ_DN17240_c0_g1,NA
isogroupOFAVBQ_DN172434_c0_g1,NA
isogroupOFAVBQ_DN172438_c0_g2,NA
isogroupOFAVBQ_DN172458_c0_g1,NA
isogroupOFAVBQ_DN172519_c0_g1,NA
isogroupOFAVBQ_DN172525_c0_g1,NA
isogroupOFAVBQ_DN172634_c1_g1,NA
isogroupOFAVBQ_DN172634_c1_g2,-0.0125571725754406
isogroupOFAVBQ_DN172634_c1_g4,-0.236178035900968
isogroupOFAVBQ_DN172634_c1_g6,-0.166813990419007
isogroupOFAVBQ_DN172653_c0_g1,NA
isogroupOFAVBQ_DN172676_c0_g1,NA
isogroupOFAVBQ_DN172677_c0_g1,NA
isogroupOFAVBQ_DN172724_c0_g1,NA
isogroupOFAVBQ_DN172753_c0_g1,0.0708597682827238
isogroupOFAVBQ_DN172778_c0_g1,NA
isogroupOFAVBQ_DN172790_c0_g1,NA
isogroupOFAVBQ_DN172790_c0_g2,NA
isogroupOFAVBQ_DN172843_c1_g1,NA
isogroupOFAVBQ_DN172851_c0_g1,NA
isogroupOFAVBQ_DN172863_c0_g1,0.395253431565108
isogroupOFAVBQ_DN172945_c0_g1,NA
isogroupOFAVBQ_DN172990_c0_g1,NA
isogroupOFAVBQ_DN173004_c0_g3,NA
isogroupOFAVBQ_DN173054_c0_g2,NA
isogroupOFAVBQ_DN173083_c0_g2,NA
isogroupOFAVBQ_DN173137_c0_g2,NA
isogroupOFAVBQ_DN173206_c0_g1,NA
